product_id,name,units_available,price_per_unit
3506237,Sprouts - Onion,109,0.86
7484231,Lamb - Ground,168,4.84
2122283,Sobe - Cranberry Grapefruit,2,9.37
1580450,Dawn Professionl Pot And Pan,67,4.09
5973678,Apple - Macintosh,72,5.41
9703538,Cookies Almond Hazelnut,79,4.93
2296229,Salmon - Canned,0,2.3
5898842,Pastry - Baked Scones - Mini,133,5.52
1402118,Bacardi Breezer - Tropical,136,4.71
7881245,Zucchini - Yellow,43,6.08
9159794,Pepper - Orange,57,8.6
4464605,Flower - Carnations,109,1.9
3095170,"Wine - Red, Cabernet Sauvignon",92,9.15
6738283,Banana Turning,136,9.35
2926308,Lettuce - California Mix,78,7.71
2539583,Monkfish Fresh - Skin Off,86,5.87
1393480,"Pork - Loin, Center Cut",77,5.91
3082675,Sprouts - Corn,158,8.08
5090308,Strawberries,124,8.04
3776487,"Lamb - Shoulder, Boneless",165,1.8
5384861,Beef - Rib Eye Aaa,39,1.26
7657395,Longos - Grilled Chicken With,107,2.11
2440107,"Bread - Roll, Whole Wheat",77,7.48
1474329,Ice Cream - Life Savers,148,7.66
6835173,"Pasta - Orzo, Dry",58,2.48
8662823,Veal - Eye Of Round,0,5.47
3034756,Chicken - Whole Fryers,0,6.54
1160717,Kiwi Gold Zespri,49,2.85
2605441,Pork - Liver,21,5.42
8680353,Crackers - Melba Toast,56,3.69
5413417,"Pork - Loin, Center Cut",34,7.05
6867004,"Wine - White, French Cross",98,8.85
5848852,Tofu - Firm,171,0.87
9895465,Bread - Pumpernickel,6,7.5
6081943,Ice Cream - Super Sandwich,0,8.01
4694790,Beer - Sleeman Fine Porter,155,7.53
6659777,Lobster - Live,83,5.1
6584170,"Salmon - Atlantic, No Skin",72,7.56
4493060,Eggs - Extra Large,5,2.05
4272324,Lady Fingers,75,2.72
5996177,"Chocolate - Pistoles, Lactee, Milk",93,6.01
5357210,Ginger - Pickled,13,9.49
3498452,Wakami Seaweed,25,2.07
9653964,Bread - Raisin,0,8.05
3573377,Crackers - Trio,31,0.66
1316831,Dooleys Toffee,0,8.42
6120942,Wine - Marlbourough Sauv Blanc,161,3.47
5347403,"Wine - White, Colubia Cresh",16,4.2
3751700,Sea Bass - Whole,49,9.55
5980261,Pork - Sausage Casing,162,2.04
3411468,Anchovy Paste - 56 G Tube,124,2.93
5895636,"Pasta - Fusili, Dry",83,6.44
6177427,Potatoes - Mini White 3 Oz,0,9.02
6741447,Cheese - Goat,49,1.16
2773763,"Sugar - Sweet N Low, Individual",92,2.07
7652435,"Pasta - Tortellini, Fresh",103,1.95
5823220,Hand Towel,37,9.27
7108712,Prunes - Pitted,98,9.06
1082124,"Chicken - White Meat, No Tender",54,2.43
5963133,Cheese - Mozzarella,9,4.77
5198058,Cheese - Comte,19,3.24
1817527,Flavouring - Rum,58,6.83
5860172,"Wine - White, Chardonnay",2,4.69
7896649,"Salt - Rock, Course",125,2.93
7373749,Carbonated Water - Cherry,136,7.82
3770272,"Yogurt - Raspberry, 175 Gr",6,3.44
7916471,"Liners - Banana, Paper",61,4.13
2113186,Vinegar - Champagne,77,9.99
8218484,Pears - Anjou,117,8.2
7780126,Crawfish,172,2.87
9078060,Cake - Cheese Cake 9 Inch,0,6.71
1515693,Teriyaki Sauce,45,0.72
4964762,Lamb Shoulder Boneless Nz,9,9.75
9289574,Greens Mustard,164,7.11
8874714,Nantucket - Kiwi Berry Cktl.,59,0.38
2727466,Puree - Mango,112,4.88
8352104,"Radish - Black, Winter, Organic",139,8.26
9668625,Aspic - Light,126,2.61
2267491,Soupfoamcont12oz 112con,73,3.67
6178480,"Napkin - Dinner, White",147,4.99
5240656,Beef Cheek Fresh,0,6.37
4336253,Sorrel - Fresh,103,6.32
3572968,Marjoram - Fresh,175,5.49
4931280,Bread Crumbs - Panko,74,3
8474688,Foil - Round Foil,93,6.95
9841435,"Beef - Tongue, Cooked",108,2.86
6497974,Cherries - Frozen,65,3.11
7420441,Chutney Sauce,91,5.17
2760862,Wine - Riesling Alsace Ac 2001,115,0.72
6828599,"Yogurt - Banana, 175 Gr",7,0.29
6406889,Sterno - Chafing Dish Fuel,101,5.21
5134304,"Sauce - White, Mix",165,1.89
4571189,Cake - Cheese Cake 9 Inch,158,6.22
9778222,Lettuce - Radicchio,165,2.09
1437822,Water - San Pellegrino,111,3.84
2155065,Tea - Jasmin Green,119,5.31
3407613,"Shrimp - 16/20, Iqf, Shell On",1,7.31
4225329,Wine - Muscadet Sur Lie,132,1.3
9868396,Plate Pie Foil,64,6.03
7894971,Apple - Fuji,107,8.25
7681090,Brandy - Bar,162,6.18
7731729,"Wine - Red, Cabernet Merlot",12,5.56
3335632,Pork Loin Bine - In Frenched,47,3
2568324,Venison - Liver,143,0.46
4702687,Ice Cream Bar - Hagen Daz,168,8.02
5865580,Salt And Pepper Mix - Black,9,4.95
8044832,Mushroom - Crimini,121,3.02
6152829,Beef Flat Iron Steak,79,5.58
9513004,Icecream Cone - Areo Chocolate,158,2.11
7453808,Numi - Assorted Teas,72,1.98
6754159,Bread Base - Italian,133,7.56
7710345,Ecolab Crystal Fusion,48,5.26
6305534,Lettuce - Escarole,58,3.94
8982231,Grapes - Red,88,8.81
9044903,Fenngreek Seed,75,2.38
8669956,Sambuca - Opal Nera,167,5.14
7436839,"Veal - Round, Eye Of",165,6.67
9252203,Lid - 3oz Med Rec,69,6.23
3202144,Wild Boar - Tenderloin,0,6.89
7566394,Table Cloth 90x90 Colour,64,9.82
4819785,Oil - Sesame,141,7.2
2782881,Otomegusa Dashi Konbu,0,7.05
7294871,Cheese - Taleggio D.o.p.,117,0.81
8122512,"Flour - Buckwheat, Dark",142,8.89
7002275,Corn Kernels - Frozen,158,0.83
2350421,"Bread - Rolls, Rye",95,4.17
5320696,Creme De Cacao Mcguines,81,1.45
4495647,"Nut - Cashews, Whole, Raw",79,7.82
2471710,Smoked Paprika,173,6.19
9888621,"Garlic - Primerba, Paste",116,6.4
4540002,Slt - Individual Portions,144,8.84
6906426,Wine - Duboeuf Beaujolais,37,8.47
8376080,Cactus Pads,49,1.08
6510179,"Turkey - Breast, Smoked",0,7.98
6905335,Cactus Pads,43,7.49
4591972,"Syrup - Monin, Amaretta",64,7.75
2145143,Oil - Sesame,0,7.83
9925118,Wine - Cotes Du Rhone Parallele,146,9.74
2326056,Sugar - Fine,96,0.57
2169882,Wine - Sogrape Mateus Rose,142,3.7
3443299,Honey - Comb,22,0.85
6446777,"Pasta - Cappellini, Dry",79,6.23
5929248,Kolrabi,6,0.79
3798348,"Soup - Knorr, Ministrone",25,5.57
8851588,"Octopus - Baby, Cleaned",107,4.68
1947923,Grapes - Red,2,9.14
7362244,Flour - Masa De Harina Mexican,76,6.21
6751168,"Bread - Bagels, Mini",28,8.87
4028906,Rice - Wild,155,7.23
9185244,"Stock - Veal, Brown",144,1.39
3941291,Skewers - Bamboo,44,8.31
4242629,Bar Nature Valley,41,2.92
5343244,Fudge - Chocolate Fudge,154,8.09
2746305,Apricots Fresh,165,9.93
1537292,Relish,164,2.81
4072353,Curry Powder,24,3.2
7144299,Lid - 0090 Clear,166,2.38
1848652,Noodles - Steamed Chow Mein,65,5.14
5060979,Scallops 60/80 Iqf,28,2.94
4179710,"Shrimp - Baby, Warm Water",0,0.33
2822984,Cheese - St. Paulin,121,8.06
9295765,"Stock - Veal, Brown",126,5.72
8069323,Oil - Grapeseed Oil,42,4
6077342,"Shrimp - 21/25, Peel And Deviened",37,2.52
7969423,Beans - Soya Bean,22,7.29
8600966,Beans - French,12,7.96
2597176,Plasticknivesblack,134,8.42
7462287,"Wine - Red, Cooking",175,4.06
6853861,"Lid - High Heat, Super Clear",165,3.69
2508264,Corn Kernels - Frozen,165,3
2156890,Mushroom - King Eryingii,54,9.48
2234201,Pork - Liver,81,3
6759416,Cheese - Valancey,57,2.55
1533341,Wine - Clavet Saint Emilion,107,5.71
7570516,Pancetta,169,5.09
8896439,Sugar - Crumb,94,9.96
2062458,"Pasta - Cannelloni, Sheets, Fresh",82,6.63
3188449,Soup - Campbellschix Stew,119,6.25
9470976,Bacon Strip Precooked,81,6.22
4480648,"Salsify, Organic",98,7.43
8083381,Coffee - Decaffeinato Coffee,169,9.15
3002921,"Lid - High Heat, Super Clear",38,2.95
7356481,Peppercorns - Pink,49,7.43
6245847,Spice - Montreal Steak Spice,54,5.06
3381602,Wiberg Super Cure,37,2.68
6144911,Daves Island Stinger,89,8.83
5089468,Wonton Wrappers,31,1.23
1526829,Mountain Dew,14,3.62
4037335,"Soup - Knorr, French Onion",173,4.24
9341503,Lotus Root,149,4.91
3501796,Cheese - Valancey,77,9.35
9517330,Coffee - Hazelnut Cream,97,6.06
9488226,Nantucket Cranberry Juice,8,3.95
7891543,"Cheese - Cheddar, Old White",161,6.64
1317798,Pomegranates,12,5.58
1777116,Table Cloth 81x81 Colour,18,7.78
5150066,Chervil - Fresh,66,3.63
1396523,Soup Campbells Turkey Veg.,36,5.8
3152841,Pie Filling - Cherry,169,5.58
4156400,Pomegranates,14,9.09
1294619,Crackers - Melba Toast,62,0.68
6873237,Cookie Chocolate Chip With,24,1.83
6389527,"Halibut - Whole, Fresh",46,0.92
3257542,Pie Pecan,26,7.28
1970733,Sloe Gin - Mcguinness,133,0.66
2148807,Egg - Salad Premix,107,4.02
1680060,Persimmons,0,2.67
5595515,"Sauce - Soya, Light",127,2.67
4046051,Energy Drink Bawls,167,8.45
8940692,Mushroom - Lg - Cello,157,5.19
1889326,Container Clear 8 Oz,126,8.19
7774352,Cheese - Cream Cheese,65,5.9
8623839,Pepper - Cubanelle,31,1.41
4262338,Sauce - Oyster,59,4.54
4887081,Taro Root,121,5.39
9692133,Pork - Caul Fat,112,8.63
1886333,Rabbit - Saddles,52,9.55
4814136,Wine - Bouchard La Vignee Pinot,84,1.99
3309982,Eggroll,106,1.44
7615278,Appetizer - Southwestern,65,9.71
5429954,French Pastry - Mini Chocolate,25,7.25
8617524,"Croissant, Raw - Mini",89,5.91
8888319,Campari,34,9.98
3520054,"Water - Mineral, Carbonated",47,7.21
4505111,Sweet Pea Sprouts,14,8.97
6386088,Blueberries - Frozen,119,0.8
1584101,Sugar - Icing,137,6.9
5570170,Capicola - Hot,96,6.13
7833117,Nut - Pumpkin Seeds,74,5.78
4282027,Passion Fruit,89,8.69
1753564,"Nut - Walnut, Chopped",54,5.67
4845978,Bread - 10 Grain Parisian,55,3.15
2399566,Crackers - Water,146,4.23
3556597,"Wine - Red, Pinot Noir, Chateau",134,9.95
4611293,Tea - Black Currant,157,2.65
7351081,Spinach - Spinach Leaf,152,0.84
7041255,Wine - Pinot Grigio Collavini,14,8.36
3512430,Bread - Granary Small Pull,68,1.39
6460193,"Veal - Inside, Choice",92,7.28
1481227,Mix - Cocktail Strawberry Daiquiri,149,9.1
2777621,"Cod - Salted, Boneless",41,1.35
5893408,Rice - Long Grain,1,3.78
8438854,Island Oasis - Strawberry,2,1.25
7816092,"Beef - Ox Tail, Frozen",66,7.5
1594013,Sprouts - Peppercress,171,8.34
5289092,Curry Powder,34,4.33
4691518,Russian Prince,91,9.3
3388261,Rum - Mount Gay Eclipes,51,2.87
2037000,Rice - Wild,0,7.31
7433510,Pizza Pizza Dough,38,2.48
7572188,Mackerel Whole Fresh,138,6.53
6026401,Flour - Strong,114,3.98
3248827,Fruit Salad Deluxe,91,7.9
6866344,Bread - Calabrese Baguette,129,2.05
1131176,Mushroom - Lg - Cello,164,5.61
5500425,Beer - Molson Excel,66,0.61
6057013,Trueblue - Blueberry 12x473ml,25,2.8
8915389,Wine - Prosecco Valdobiaddene,74,3.56
4832666,Buffalo - Tenderloin,54,0.61
8800648,Quail Eggs - Canned,102,5.55
6255909,Chutney Sauce,159,7.1
9574449,"Seedlings - Buckwheat, Organic",22,7.1
1708884,Cake - French Pear Tart,143,5.27
5294754,Muffin Orange Individual,35,0.65
8980912,Tuna - Bluefin,162,4.04
1538628,"Pork - Butt, Boneless",138,6.41
7201814,Wine - Lamancha Do Crianza,96,7.82
1521595,Orange - Tangerine,45,4.55
3191072,Chicken - White Meat With Tender,143,8.91
3626573,Wine - Shiraz Wolf Blass Premium,26,7.62
7256499,Tea - Jasmin Green,24,6.26
9506018,Ham - Cooked Italian,0,6.31
9911938,"Syrup - Monin, Irish Cream",13,4.49
3150231,Chips - Doritos,0,8.74
3411490,"Veal - Brisket, Provimi,bnls",166,9.32
7515025,Table Cloth 53x69 White,13,3.98
6017757,Wine - Riesling Alsace Ac 2001,9,2.25
6673601,Five Alive Citrus,71,4.25
1022756,Tea - English Breakfast,102,1.41
1786817,Butcher Twine 4r,128,9.39
4490164,Silicone Parch. 16.3x24.3,44,0.79
4251232,Mints - Striped Red,158,7.53
2395518,Curry Paste - Madras,102,9.33
9080926,Wine - Merlot Vina Carmen,9,2.02
4509850,Cake - Night And Day Choclate,39,1.16
5204578,Muffin Batt - Carrot Spice,141,2.94
9994381,Wine - Semi Dry Riesling Vineland,147,9.71
5496554,"Juice - Cranberry, 341 Ml",47,5.22
4456413,Pie Pecan,163,2.22
1929495,Wine - Magnotta - Cab Franc,51,6.22
8891397,Fennel - Seeds,31,7.23
5267152,Muffin - Banana Nut Individual,0,9.39
9941275,Bread - Crusty Italian Poly,19,7.75
5395205,"Lid - 10,12,16 Oz",93,8.81
7348993,Eel - Smoked,173,1.55
2233523,Juice - Happy Planet,26,1.23
2662074,Lamb - Bones,148,6.76
1359495,Bok Choy - Baby,58,9.08
7720819,"Wine - Red, Mouton Cadet",26,6.68
8712038,"Soup - Campbells, Chix Gumbo",134,5.63
3128031,Sesame Seed Black,153,1.44
6158015,"Juice - Grapefruit, 341 Ml",0,8.56
4678837,Chocolate - Milk,22,1.35
7125093,Tea - Green,12,4.87
6495532,Container - Clear 32 Oz,0,7.77
6156835,"Pork - Ham, Virginia",133,7.56
6971154,Glycerine,5,6.84
6582838,"Lamb - Racks, Frenched",59,9.95
5398383,Sour Puss Sour Apple,149,5.75
5869489,Blue Curacao - Marie Brizard,146,4.91
1555945,"Tart Shells - Barquettes, Savory",33,9.38
7511712,Beer - Labatt Blue,6,7.98
4501298,Bread Foccacia Whole,133,6.73
1049684,Towel Multifold,143,4.69
1388353,Beef - Inside Round,117,5.71
2893877,"Sole - Dover, Whole, Fresh",61,6.92
2898450,Sauce - Hp,53,4.87
5661369,"Ranchero - Primerba, Paste",141,4.36
8807231,Oven Mitt - 13 Inch,0,5.13
7868833,Phyllo Dough,0,7.87
5151074,"Cheese - Cheddar, Mild",0,8.14
5476052,Cheese - Cheddar With Claret,79,5.36
5715116,Yogurt - Assorted Pack,115,7.22
2964753,Sole - Fillet,73,3.23
5922181,Beef - Rib Eye Aaa,101,3.47
8197034,Pastry - Lemon Danish - Mini,144,5.88
6723104,Cheese - Swiss Sliced,101,4.96
1617023,Pepper - Gypsy Pepper,17,7.46
1906094,Nectarines,137,6.38
2127537,Ice Cream - Fudge Bars,85,6.76
8196507,Wine - Crozes Hermitage E.,159,3.19
4238611,Bread - Raisin Walnut Oval,42,5.64
3291555,Turkey - Ground. Lean,113,3.23
5387828,Tomato Paste,175,0.47
4208232,Tequila Rose Cream Liquor,69,7.01
2403997,Cheese - Cambozola,134,8
5047119,Bread - Olive Dinner Roll,0,3.51
8469304,Muffin Hinge Container 6,8,0.58
4121940,Bread - Hamburger Buns,24,4.76
6971392,Cocoa Powder - Dutched,15,9.1
2497464,Cheese - Grana Padano,165,2.14
7401283,Maintenance Removal Charge,33,1.69
9958794,Wine - Segura Viudas Aria Brut,78,9.63
2114608,Wine - Cotes Du Rhone Parallele,64,5.87
7162385,Brandy - Bar,99,0.57
3808431,Lemonade - Pineapple Passion,131,8.27
2833952,Oil - Hazelnut,79,5.04
5567542,Wine - Montecillo Rioja Crianza,155,6.71
4663475,Calypso - Pineapple Passion,102,7.72
5394793,Chips Potato All Dressed - 43g,138,1.4
6859395,"Soup - Knorr, Chicken Noodle",64,6.86
7626563,Anisette - Mcguiness,113,6.61
7939656,Wine - Shiraz South Eastern,136,7.12
2899921,Lettuce - Belgian Endive,45,6.28
9812991,"Yogurt - Raspberry, 175 Gr",62,3.05
5907941,Wine - Red Oakridge Merlot,149,5.68
8706802,"Jam - Raspberry,jar",157,9.28
8187120,Latex Rubber Gloves Size 9,56,7.6
2779116,"Nut - Almond, Blanched, Whole",143,4.68
3274963,"Beef - Bones, Marrow",97,1.84
5519643,Water - Aquafina Vitamin,18,4.71
1013161,Truffle - Peelings,48,0.66
6363291,Chips - Assorted,165,8.18
2829784,Bar - Sweet And Salty Chocolate,58,0.48
3175792,Squash - Butternut,91,2.17
1481427,Cucumber - English,61,5.77
9168007,Wine - Casablanca Valley,98,4
3544255,Cookie - Dough Variety,22,5.35
