304694,2017-03-22,272.45,"Sobe - Cranberry Grapefruit,2.02,18.94","Sauce - White, Mix,1.03,1.95","Cheese - Cheddar, Old White,1.80,11.98","Cake - French Pear Tart,1.96,10.32","Cake - Night And Day Choclate,1.59,1.85","Halibut - Whole, Fresh,3.49,3.22","Lamb Shoulder Boneless Nz,1.91,18.63","Nut - Almond, Blanched, Whole,4.03,18.86","Flavouring - Rum,1.79,12.26","Nantucket Cranberry Juice,2.67,10.56","Tomato Paste,3.09,1.45","Lamb - Shoulder, Boneless,2.50,4.50","Lamb - Ground,2.23,10.80","Capon - Whole,4.07,9.88","Container - Hngd Cll Blk 7x7x3,2.44,22.05","Salmon - Atlantic, No Skin,3.19,24.08","Lamb - Bones,1.60,10.80","Cheese - Cheddar With Claret,1.41,7.57","Grapes - Red,3.07,27.08","Beef - Rib Eye Aaa,4.01,13.91","Yams,3.00,10.40","Wine - Riesling Alsace Ac 2001,4.04,2.91","Salt - Kosher,2.02,18.45",0,0,0,0,0,0
941686,2018-01-30,156.17,"Wine - Pinot Grigio Collavini,3.54,29.58","Mustard - Dijon,2.36,2.83","Ham - Cooked Italian,4.13,26.06","Beer - Labatt Blue,2.32,18.47","Yogurt - Raspberry, 175 Gr,1.93,5.89","Sugar - Crumb,2.28,22.72","Pork - European Side Bacon,3.56,16.42","Wine - White, Ej,1.71,4.32","Lid - 3oz Med Rec,3.20,19.91","Yukon Jack,1.95,9.95",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115921,2017-07-20,214.86,"Passion Fruit,2.94,25.58","Wine - Clavet Saint Emilion,1.86,10.60","Lid - 10,12,16 Oz,3.04,26.76","Flavouring - Rum,1.58,10.81","Lamb Leg - Bone - In Nz,3.40,14.79","Juice - Happy Planet,3.49,4.29","Spice - Montreal Steak Spice,2.29,11.61","Sloe Gin - Mcguinness,1.56,1.03","Pork - Liver,3.63,19.70","Beef - Tongue, Cooked,3.91,11.19","Wine - White, Antinore Orvieto,1.13,0.58","Chocolate - Compound Coating,4.09,17.90","Veal - Insides, Grains,1.75,3.16","Cookies Almond Hazelnut,3.10,15.27","Cake - French Pear Tart,4.05,21.36","Asparagus - White, Canned,3.17,20.23",0,0,0,0,0,0,0,0,0,0,0,0,0
363387,2017-07-31,257.29,"Pancetta,1.24,6.31","Ice Cream - Super Sandwich,3.04,24.35","Cookies Almond Hazelnut,2.18,10.77","Pasta - Orzo, Dry,3.32,8.24","Shrimp - Baby, Warm Water,3.29,1.09","Coffee - Hazelnut Cream,2.74,16.62","Yogurt - Peach, 175 Gr,2.90,22.29","Muffin Hinge Container 6,1.39,0.81","Cucumber - English,4.12,23.76","Eggroll,2.64,3.80","Lid - 10,12,16 Oz,1.23,10.83","Honey - Comb,2.10,1.79","Ice Cream - Super Sandwich,2.96,23.70","Hipnotiq Liquor,2.10,14.86","Cheese - Havarti, Salsa,1.59,8.04","Nut - Pine Nuts, Whole,3.93,31.10","Napkin - Dinner, White,1.63,8.13","Wine - Shiraz Wolf Blass Premium,3.46,26.33","Bread - Crusty Italian Poly,1.87,14.51",0,0,0,0,0,0,0,0,0,0
363387,2017-09-26,449.65,"Plasticknivesblack,3.75,31.57","Mix - Cocktail Ice Cream,3.22,20.13","Chips - Doritos,3.75,32.75","Cactus Pads,1.00,1.08","Lettuce - Treviso,1.83,12.29","Ice Cream - Super Sandwich,2.16,17.26","Pepper - Gypsy Pepper,2.08,15.52","Rabbit - Saddles,2.13,9.90","Cookie Chocolate Chip With,1.95,3.57","Pork - Bacon, Sliced,3.94,17.36","Appetizer - Southwestern,3.31,32.11","Marjoram - Fresh,4.10,22.49","Vinegar - Champagne,3.56,35.57","Chutney Sauce,1.93,13.68","Wine - Marlbourough Sauv Blanc,2.45,8.50","Nectarines,3.86,24.61","Bandage - Flexible Neon,3.55,30.91","Sour Cream,3.42,21.34","Cucumber - English,2.43,14.01","Salsify, Organic,2.05,15.26","Chocolate - Milk,4.08,5.51","Bread - Raisin Walnut Oval,3.18,17.95","Soup - Knorr, Ministrone,1.88,10.48","Carbonated Water - Cherry,3.38,26.42","Table Cloth 81x81 Colour,1.20,9.37",0,0,0,0
877429,2017-04-28,300.59,"Fenngreek Seed,3.68,8.76","Bread Base - Italian,4.08,30.88","Greens Mustard,1.26,8.97","Cake - Night And Day Choclate,3.21,3.72","Fenngreek Seed,3.29,7.84","Zucchini - Yellow,3.26,19.84","Island Oasis - Strawberry,3.34,4.18","Banana Turning,3.51,32.85","Wine - Cotes Du Rhone Parallele,3.96,23.22","Turkey - Breast, Smoked,3.21,25.62","Nut - Almond, Blanched, Whole,2.19,10.25","Cake - Cheese Cake 9 Inch,2.66,17.87","Lettuce - California Mix,2.56,19.74","Pork - Loin, Center Cut,3.11,12.83","Compound - Raspberry,1.89,18.48","Lemon Grass,2.65,24.89","Yogurt - Raspberry, 175 Gr,1.03,3.14","Wine - Montecillo Rioja Crianza,4.10,27.53",0,0,0,0,0,0,0,0,0,0,0
877429,2017-07-20,337.03,"Lemonade - Pineapple Passion,4.13,34.14","Yukon Jack,3.89,19.84","Water - Mineral, Carbonated,1.81,13.08","Pork - Sausage Casing,3.80,7.74","Soup - Knorr, Chicken Noodle,1.81,12.45","Veal - Brisket, Provimi,bnls,2.12,19.74","Lettuce - Escarole,1.75,6.88","Bread - Italian Roll With Herbs,3.99,12.20","Red Currant Jelly,3.18,15.21","Nectarines,1.96,12.51","Peppercorns - Pink,3.95,29.38","Five Alive Citrus,3.82,16.24","Ice Cream - Life Savers,2.39,18.32","Breakfast Quesadillas,3.03,15.72","Coffee - Cafe Moreno,3.54,33.45","Pork - Caul Fat,1.51,13.00","Yukon Jack,4.17,21.29","Ecolab Crystal Fusion,4.00,32.92","Beef - Rib Eye Aaa,2.31,2.92",0,0,0,0,0,0,0,0,0,0
654721,2017-12-24,153.51,"Cake - Sheet Strawberry,3.14,7.07","Syrup - Monin, Irish Cream,2.79,12.52","Tea - Jasmin Green,2.49,15.62","Mushroom - Crimini,3.23,9.75","Yogurt - Raspberry, 175 Gr,1.03,3.13","Corn Syrup,3.80,36.13","Container - Hngd Cll Blk 7x7x3,3.89,35.10","Breakfast Quesadillas,2.31,11.97","Container - Clear 32 Oz,2.86,22.22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
654721,2018-02-10,72.76,"Extract - Raspberry,3.75,4.01","Cheese - Cheddar, Old White,2.39,15.88","Coffee - Hazelnut Cream,3.42,20.73","Wild Boar - Tenderloin,3.27,22.53","Muffin Orange Individual,1.24,0.80","Cheese - Grana Padano,2.73,5.85","Wine - Muscadet Sur Lie,2.28,2.96",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124923,2017-10-09,340.64,"Phyllo Dough,1.36,10.68","Tea - Black Currant,1.88,4.99","Lettuce - Treviso,3.53,23.63","Tuna - Bluefin,1.56,6.32","Mushroom - Crimini,3.56,10.75","Pears - Anjou,3.62,29.65","Pepper - Scotch Bonnet,2.87,6.89","Slt - Individual Portions,1.54,13.63","Spaghetti Squash,4.07,10.88","Water - Aquafina Vitamin,3.57,16.82","Wine - Cotes Du Rhone Parallele,2.42,23.61","Wine - Red, Mouton Cadet,3.62,24.21","Sole - Dover, Whole, Fresh,1.71,11.82","Flavouring - Rum,3.94,26.91","Beef - Rib Eye Aaa,2.21,2.78","Chocolate - Pistoles, Lactee, Milk,1.60,9.59","Bread - Granary Small Pull,2.48,3.44","Carbonated Water - Cherry,2.84,22.24","Beef - Tongue, Cooked,4.05,11.57","Lamb - Shoulder, Boneless,2.23,4.01","Honey - Comb,1.70,1.45","Flour - Rye,1.48,4.14","Brandy - Bar,2.02,1.15","Teriyaki Sauce,2.93,2.11","Pork - Caul Fat,3.96,34.17","English Muffin,3.11,1.46","Table Cloth 81x81 Colour,2.38,18.52","Kolrabi,2.08,1.65","Wine - White, Antinore Orvieto,3.06,1.56"
998528,2017-12-26,210.05,"Lamb - Bones,2.65,17.90","Vodka - Smirnoff,1.43,11.81","Mix - Cocktail Strawberry Daiquiri,4.03,36.66","Venison - Liver,2.64,1.21","Strawberries,3.04,21.17","Longos - Grilled Veg Sandwiches,1.45,12.85","Container - Hngd Cll Blk 7x7x3,2.76,24.86","Mushroom - Lg - Cello,2.46,12.75","Veal - Eye Of Round,3.16,17.27","Extract - Raspberry,2.56,2.74","Rice - Wild,3.31,24.18","Sugar - Monocystal / Rock,2.87,11.58","Corn Syrup,1.58,15.05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
998528,2018-02-10,360.72,"Flavouring - Rum,3.12,21.34","Corn Kernels - Frozen,3.72,3.09","Wonton Wrappers,3.64,4.47","Bread - Raisin,2.50,20.12","Wine - Red, Mouton Cadet,3.80,25.35","Wine - Duboeuf Beaujolais,1.70,14.37","Strawberries,3.13,21.76","Nut - Pumpkin Seeds,3.63,20.96","Bread - Bagels, Mini,2.29,20.35","Sweet Pea Sprouts,1.75,15.68","Wine - White, Ej,1.94,4.91","Corn Kernels - Frozen,1.96,5.88","Marjoram - Fresh,1.84,10.12","Crawfish,2.50,7.18","Apples - Sliced / Wedge,2.52,9.73","Rice - Wild,2.68,19.60","Tart Shells - Savory, 3,2.50,1.20","Cocoa Butter,3.42,7.70","Cheese - Taleggio D.o.p.,2.90,2.35","Cactus Pads,2.79,20.86","Jam - Raspberry,jar,2.35,21.80","Tea - Green,3.57,17.39","Grapes - Red,3.59,31.60","Mints - Striped Red,2.15,16.20","Banana Turning,1.79,16.70",0,0,0,0
998528,2018-02-20,387.79,"Beef - Ground Medium,3.05,27.42","Water - San Pellegrino,2.18,8.36","Soup - Knorr, Chicken Noodle,3.86,26.45","Hand Towel,2.18,20.22","Cake - Cheese Cake 9 Inch,1.74,11.68","Hand Towel,1.96,18.15","Coffee - Ristretto Coffee Capsule,1.38,4.43","Ice Cream Bar - Hagen Daz,2.78,22.26","Flour - Strong,3.48,13.84","Tea - Jasmin Green,2.78,17.40","Liners - Banana, Paper,2.38,9.82","Curry Powder,1.70,7.36","Sterno - Chafing Dish Fuel,1.30,6.77","Crawfish,1.62,4.66","Bread - Hamburger Buns,3.35,15.96","Placemat - Scallop, White,3.31,28.27","Wine - White, French Cross,1.47,2.12","Lamb - Ground,3.87,18.73","Sauce - Soya, Light,3.62,9.67","Pears - Anjou,2.05,16.81","Corn Kernels - Frozen,2.53,2.10","Bread - Roll, Whole Wheat,3.14,23.52","Oil - Hazelnut,4.08,20.59","Pork Loin Bine - In Frenched,4.16,12.48","Wine - Acient Coast Caberne,1.30,1.58","Lamb - Shoulder, Boneless,3.61,6.50","Napkin - Dinner, White,2.46,12.25","Star Anise, Whole,2.18,18.41",0
980582,2017-05-13,137.34,"Pepper - Gypsy Pepper,1.63,12.14","Yogurt - Raspberry, 175 Gr,3.98,12.14","Juice - Grapefruit, 341 Ml,1.02,8.71","Wakami Seaweed,3.98,3.86","Yogurt - Banana, 175 Gr,1.61,0.47","Bread - Raisin,2.14,17.22","Juice - Happy Planet,2.44,3.00","Bread - Pumpernickel,1.29,9.68","Longos - Assorted Sandwich,4.06,30.84","Lid - 10,12,16 Oz,2.06,18.14","Corn Syrup,2.22,21.14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
980582,2017-05-23,233.48,"Bar - Sweet And Salty Chocolate,2.46,1.18","Rice - Wild,2.95,21.53","Wine - Sogrape Mateus Rose,1.30,4.83","Bread - 10 Grain Parisian,1.37,4.32","Nantucket - Kiwi Berry Cktl.,2.18,0.83","Lobster - Base,3.07,22.38","Oil - Grapeseed Oil,1.33,5.32","Trout - Rainbow, Fresh,1.42,5.03","Curry Paste - Madras,1.04,9.71","Apples - Sliced / Wedge,1.58,6.11","Container - Hngd Cll Blk 7x7x3,2.68,24.19","Cheese - Swiss Sliced,2.83,14.04","Bread - 10 Grain Parisian,1.40,4.41","Bread - Olive Dinner Roll,3.62,12.71","Corn Syrup,1.68,16.02","Wakami Seaweed,1.14,1.11","Oven Mitt - 13 Inch,2.85,14.60","Ice Cream - Super Sandwich,3.47,27.77","Pepper - Scotch Bonnet,3.54,8.50","Water - Aquafina Vitamin,2.63,12.39","Zucchini - Yellow,1.87,11.36","Chocolate - Milk,3.82,5.16",0,0,0,0,0,0,0
980582,2017-11-21,331.58,"Tequila Rose Cream Liquor,3.83,26.82","Longos - Grilled Veg Sandwiches,2.12,18.77","Chocolate - Compound Coating,3.50,15.32","Crackers - Melba Toast,2.57,1.75","Star Anise, Whole,2.43,20.52","Placemat - Scallop, White,3.98,33.97","Wine - White, Antinore Orvieto,4.04,2.06","Bread Base - Italian,1.02,7.72","Coffee - Decaffeinato Coffee,3.35,30.69","Ham - Cooked Italian,4.18,26.41","Tea - Black Currant,2.13,5.64","Tea - Jasmin Green,1.39,7.36","Bacon Strip Precooked,3.37,20.96","Crackers - Melba Toast,2.08,14.28","Bread - Bagels, Mini,3.17,28.14","Wine - Lamancha Do Crianza,1.79,14.01","Crackers - Melba Toast,3.06,11.31","Lobster - Live,3.20,16.34","Cheese - Grana Padano,4.02,8.60","Ecolab Crystal Fusion,2.19,11.49","Cherries - Frozen,3.03,9.41",0,0,0,0,0,0,0,0
359621,2017-09-13,292.28,"Oven Mitt - 13 Inch,1.78,9.11","Bread - Italian Roll With Herbs,1.40,4.30","Beef Flat Iron Steak,1.78,9.92","Bread - 10 Grain Parisian,2.60,8.19","Mustard - Dijon,3.21,3.85","Bread Base - Italian,1.30,9.82","Juice - Grapefruit, 341 Ml,3.98,34.05","Anisette - Mcguiness,1.68,11.13","Lobster - Base,1.75,12.70","Wine - Riesling Alsace Ac 2001,3.33,2.40","Cheese - St. Paulin,2.45,19.72","Butcher Twine 4r,1.58,14.85","Carbonated Water - Blackberry,2.25,1.49","Beer - Molson Excel,2.50,1.53","Cookies - Englishbay Wht,2.16,5.57","Pepsi - 600ml,2.71,19.70","Cake - Night And Day Choclate,3.59,4.16","Pie Pecan,4.10,29.85","Puree - Mango,1.39,6.77","Sugar - Monocystal / Rock,1.14,4.61","Anchovy Paste - 56 G Tube,2.19,6.43","Asparagus - White, Canned,3.52,22.49","Spinach - Spinach Leaf,3.69,3.10","Beer - Labatt Blue,3.98,31.78","Wine - Red, Cooking,3.64,14.78",0,0,0,0
359621,2017-09-14,89.08,"Flavouring - Rum,3.02,20.64","Wine - Casablanca Valley,3.59,14.35","Sea Bass - Whole,3.76,35.90","Truffle - Peelings,2.73,1.80","Soup Campbells Turkey Veg.,2.82,16.38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359621,2017-09-18,45.03,"Turkey - Ground. Lean,2.95,9.52","Wine - Lamancha Do Crianza,3.60,28.18","Halibut - Whole, Fresh,2.79,2.57","Icecream Cone - Areo Chocolate,2.26,4.77",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
877083,2017-07-01,221.24,"English Muffin,3.99,1.88","Smoked Paprika,3.83,23.70","Lemon Grass,4.07,38.27","Lamb Shoulder Boneless Nz,1.21,11.76","Salsify, Organic,1.42,10.52","Pasta - Cannelloni, Sheets, Fresh,3.99,26.46","Smoked Paprika,2.90,17.97","Nut - Almond, Blanched, Whole,3.96,18.52","Pork - Caul Fat,3.12,26.95","Cheese - Valancey,1.17,10.97","Foil - Round Foil,3.79,34.23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
877083,2017-08-28,96.90,"Nut - Pumpkin Seeds,3.08,17.78","Tea - Jasmin Green,3.86,24.18","Compound - Raspberry,2.74,26.81","Capicola - Hot,2.82,17.29","Pork - Butt, Boneless,1.69,10.84",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
877083,2017-10-08,55.01,"Mix - Cocktail Ice Cream,4.03,25.24","Bacardi Breezer - Tropical,3.14,14.79","Salmon - Canned,2.45,5.64","Beans - Soya Bean,1.28,9.34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
985203,2017-04-16,269.39,"Chips Potato All Dressed - 43g,2.00,2.79","Wine - White, French Cross,3.82,5.50","Longos - Grilled Chicken With,3.72,7.86","Corn Kernels - Frozen,3.42,10.25","Pepper - Scotch Bonnet,2.16,5.19","Chicken - White Meat, No Tender,1.67,4.05","Towel Multifold,3.66,17.18","Capicola - Hot,2.26,13.85","Doilies - 12, Paper,1.61,2.68","Gherkin,3.34,2.67","Dooleys Toffee,3.57,30.06","Wine - Semi Dry Riesling Vineland,2.09,20.27","Beef - Inside Round,3.30,18.83","Bread Base - Italian,4.08,30.85","Cheese - Cheddar, Mild,1.96,15.98","Phyllo Dough,1.58,12.44","Calypso - Pineapple Passion,3.50,27.01","Mustard - Dijon,3.18,3.82","Coffee - Cafe Moreno,2.59,24.48","Fenngreek Seed,1.24,2.96","Pie Pecan,1.47,10.69",0,0,0,0,0,0,0,0
985203,2018-02-06,400.01,"Lotus Root,2.58,12.67","Shrimp - 21/25, Peel And Deviened,3.91,9.86","Apples - Sliced / Wedge,4.01,15.48","Yokaline,3.18,18.39","Apricots Fresh,2.73,27.08","Marjoram - Fresh,2.78,15.28","Flavouring - Rum,2.24,15.30","Jam - Raspberry,jar,3.83,35.50","Wine - Magnotta - Cab Franc,3.80,23.62","Cookie Dough - Chocolate Chip,4.07,20.19","Sobe - Cranberry Grapefruit,1.68,15.78","Bread - Crusty Italian Poly,2.89,22.44","Nantucket - Kiwi Berry Cktl.,3.75,1.43","Carbonated Water - Cherry,1.15,9.00","Yogurt - Banana, 175 Gr,2.36,0.69","Chips Potato All Dressed - 43g,1.76,2.46","Egg - Salad Premix,1.27,5.10","Beer - Sleeman Fine Porter,2.85,21.45","Cake - Dulce De Leche,2.78,14.80","Bread Base - Italian,4.14,31.29","Sorrel - Fresh,3.17,20.03","Table Cloth 90x90 Colour,2.66,26.13","Pasta - Cannelloni, Sheets, Fresh,1.10,7.29","Plasticknivesblack,3.08,25.91","Yogurt - Banana, 175 Gr,4.06,1.18","Venison - Liver,3.67,1.69",0,0,0
985203,2018-02-12,80.75,"Breakfast Quesadillas,3.67,19.06","Pear - Halves,1.95,19.29","Mushroom - King Eryingii,1.01,9.59","Wine - White, French Cross,2.38,21.06","Pork Loin Bine - In Frenched,3.92,11.75",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
529183,2017-06-09,394.05,"Ice Cream Bar - Hagen Daz,1.22,9.79","Eel Fresh,3.85,29.96","Lid - 3oz Med Rec,4.04,25.17","Cucumber - English,3.82,22.03","Veal - Insides, Grains,3.45,6.21","Mushroom - King Eryingii,1.47,13.95","Lid - 10,12,16 Oz,2.80,24.71","Bread - Rye,1.39,2.52","Mints - Striped Red,3.72,27.99","Tequila Rose Cream Liquor,2.97,20.81","Puree - Mango,2.24,10.94","Salt - Rock, Course,2.57,7.52","Plate Pie Foil,3.83,23.10","Scallops 60/80 Iqf,2.39,7.02","Beef - Inside Round,4.15,23.72","Chicken - White Meat, No Tender,1.99,4.82","Venison - Liver,3.53,1.62","Doilies - 12, Paper,1.23,2.06","Sprouts - Corn,3.71,29.97","Capicola - Hot,2.45,15.02","Longos - Grilled Veg Sandwiches,2.79,24.64","Soup - Knorr, French Onion,2.51,10.62","Chocolate - Compound Coating,1.15,5.03","Placemat - Scallop, White,2.30,19.65","Blue Curacao - Marie Brizard,2.91,14.29","Wine - White, Chardonnay,1.98,9.29","Mustard - Dijon,1.31,1.57",0,0
